2026-09-04 04:59:33.285 | INFO     | base_agent.config:load_config:154 - ⛏️ Transformers version: 5.12.1
2026-09-04 04:59:33.286 | INFO     | base_agent.config:load_config:155 - ⛏️ duckduckgo version: 9.4.3
2026-09-04 04:59:33.286 | INFO     | base_agent.config:load_config:156 - ⛏️ Python version: 3.12.14 (main, Sep  1 2026, 14:16:52) [Clang 22.1.3 ]
2026-09-04 04:59:33.286 | INFO     | base_agent.config:load_config:157 - ⛏️ PyTorch version: 2.11.0+cu130
2026-09-04 04:59:33.287 | INFO     | base_agent.config:load_config:158 - ⛏️ CUDA available: True
2026-09-04 04:59:33.287 | INFO     | base_agent.config:load_config:159 - ⛏️ MPS available: False
2026-09-04 04:59:33.287 | INFO     | base_agent.config:load_config:160 - ⛏️ Device: cuda
2026-09-04 04:59:33.287 | INFO     | base_agent.config:load_config:161 - ⚙️ config: {'out_dir': './results/open_ecommerce/user/v4', 'log_dir': './logs/open_ecommerce/user/v4', 'model_name': './models/Qwen3.5-4B', 'torch_dtype': 'bfloat16', 'max_new_tokens': 8192, 'max_model_len': 16384, 'enable_cache': True, 'enable_thinking': False, 'use_validation_data': True, 'validation_path': './results/open_ecommerce/transaction', 'scan_output_path': './results/open_ecommerce/scan', 'frequent_patterns_path': './results/open_ecommerce/frequent_pattern_mining/frequent_patterns.json', 'allowed_titles_csv': None, 'query_path': './results/open_ecommerce/transaction', 'is_reverse': False, 'prompt_user_attribute_path': './configs/prompt/open-ecommerce/combined_kotler.txt', 'debug_num_sample': 1000000, 'json_schema_parent': 'consumer_attributes', 'json_schema_child': ['category', 'reason', 'attribute'], 'use_vllm': True, 'batch_size': 1000, 'tensor_parallel_size': 1, 'trust_remote_code': True, 'seed': 3407, 'gpu_memory_utilization': 0.9, 'enforce_eager': True, 'enable_prefix_caching': False, 'begin': None, 'end': None, 'device': device(type='cuda'), 'serp_api_token': None, 'serper_api_token': None, 'timestamp': '2026-09-04_13-59-33'}
2026-09-04 04:59:33.288 | INFO     | __main__:main:17 - 📝 prompt_path: ./configs/prompt/open-ecommerce/combined_kotler.txt
2026-09-04 04:59:33.289 | INFO     | predict_user.dataset:load_recovered_transaction:205 - 📚 loaded 0 samples from results/open_ecommerce/transaction/output-2026-09-03_18-52-24.json
2026-09-04 04:59:33.289 | INFO     | predict_user.dataset:load_recovered_transaction:206 - Omitted 0 samples due to recovery failure
2026-09-04 04:59:33.290 | INFO     | predict_user.dataset:_load_scan_only_records:143 - 🛒 scanned 100 records from results/open_ecommerce/scan/output-2026-09-03_18-50-14-0-100.json
2026-09-04 04:59:33.291 | INFO     | predict_user.dataset:load_recovered_transaction:217 - 🛒 appended 100 scan-only records (no search/transaction context) from ./results/open_ecommerce/scan
2026-09-04 04:59:33.292 | WARNING  | predict_user.dataset:_load_frequent_pattern_records:60 - 🛒 pattern skipped, missing canonical_name for: ['Best Buy Gift Cards - Email Delivery']
2026-09-04 04:59:33.292 | WARNING  | predict_user.dataset:_load_frequent_pattern_records:60 - 🛒 pattern skipped, missing canonical_name for: ['Best Buy Gift Cards - Email Delivery']
2026-09-04 04:59:33.293 | WARNING  | predict_user.dataset:_load_frequent_pattern_records:60 - 🛒 pattern skipped, missing canonical_name for: ['Banana Conventional, 1 Each', 'Honeycrisp Apple']
2026-09-04 04:59:33.293 | WARNING  | predict_user.dataset:_load_frequent_pattern_records:60 - 🛒 pattern skipped, missing canonical_name for: ['Honeycrisp Apple', 'Onion Yellow Conventional, 1 Each']
2026-09-04 04:59:33.293 | WARNING  | predict_user.dataset:_load_frequent_pattern_records:60 - 🛒 pattern skipped, missing canonical_name for: ['Honeycrisp Apple', 'Lemon Reg Conventional, 1 Each']
